"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/2023","125.25","124.00","125.25","121.25","23.83K","0.20%"
"06/08/2023","125.00","120.00","125.00","120.00","42.71K","4.17%"
"06/07/2023","120.00","120.00","120.75","118.25","17.61K","0.00%"
"06/06/2023","120.00","121.00","121.00","120.00","23.42K","0.00%"
"06/05/2023","120.00","120.00","121.00","120.00","29.18K","0.00%"
"06/02/2023","120.00","122.00","122.00","118.00","342.27K","0.00%"
"06/01/2023","120.00","118.50","121.00","118.50","54.36K","1.27%"
"05/31/2023","118.50","118.50","118.50","117.00","61.08K","0.42%"
"05/30/2023","118.00","118.00","118.50","116.25","14.54K","0.00%"
"05/29/2023","118.00","120.00","120.00","118.00","10.76K","-2.48%"
"05/26/2023","121.00","120.50","121.00","119.00","2.16M","0.83%"
"05/25/2023","120.00","120.00","120.00","118.50","11.74K","0.00%"
"05/24/2023","120.00","116.25","121.00","116.25","1.26M","0.00%"
"05/23/2023","120.00","117.25","120.00","116.00","1.01M","1.69%"
"05/22/2023","118.00","118.50","119.00","117.00","284.75K","-0.63%"
"05/19/2023","118.75","118.00","120.00","118.00","357.02K","0.64%"
"05/18/2023","118.00","117.00","118.75","117.00","12.46K","0.00%"
"05/17/2023","118.00","118.00","120.00","118.00","130.87K","-1.67%"
"05/16/2023","120.00","122.50","122.75","118.00","194.66K","-2.04%"
"05/15/2023","122.50","119.00","122.50","118.00","168.95K","2.94%"
"05/12/2023","119.00","118.00","119.50","116.50","576.84K","2.59%"
"05/11/2023","116.00","117.25","118.00","116.00","645.60K","-0.22%"
"05/10/2023","116.25","116.00","117.00","116.00","88.43K","0.87%"
"05/09/2023","115.25","118.00","118.25","115.00","260.02K","-2.33%"
"05/08/2023","118.00","115.00","118.25","115.00","382.63K","2.61%"
"05/04/2023","115.00","115.00","115.00","113.00","6.12K","0.00%"
"05/03/2023","115.00","108.75","115.50","106.00","49.31K","4.55%"
"05/02/2023","110.00","112.50","112.50","109.00","161.18K","-4.14%"
"04/28/2023","114.75","115.50","115.50","114.00","286.71K","-0.22%"
"04/27/2023","115.00","118.00","118.00","112.00","1.05M","0.00%"
"04/26/2023","115.00","113.25","116.50","112.50","91.77K","-0.43%"
"04/25/2023","115.50","113.00","115.50","112.50","10.74K","2.21%"
"04/24/2023","113.00","115.25","117.00","112.00","16.39K","-4.64%"
"04/21/2023","118.50","119.00","119.00","115.00","118.61K","-0.42%"
"04/20/2023","119.00","119.00","119.25","118.00","3.85K","0.00%"
"04/19/2023","119.00","120.25","124.25","117.50","45.08K","-1.04%"
"04/18/2023","120.25","124.00","125.00","120.25","8.87K","-2.24%"
"04/17/2023","123.00","127.00","127.00","122.25","34.60K","-1.60%"
"04/12/2023","125.00","125.00","126.75","125.00","94.11K","1.63%"
"04/11/2023","123.00","124.00","125.50","122.25","221.30K","-0.81%"
"04/10/2023","124.00","123.75","125.00","123.00","10.51K","-1.20%"
"04/06/2023","125.50","123.00","126.25","122.50","29.85K","0.60%"
"04/04/2023","124.75","126.00","126.00","124.00","31.10K","-1.77%"
"04/03/2023","127.00","130.00","130.50","125.00","39.06K","-2.31%"
"03/31/2023","130.00","130.00","131.00","126.00","380.17K","7.56%"
"03/30/2023","120.86","119.90","122.54","118.94","9.33K","0.80%"
"03/29/2023","119.90","119.90","122.78","118.94","108.88K","0.00%"
"03/28/2023","119.90","120.86","120.86","116.07","24.56K","-0.40%"
"03/27/2023","120.38","124.22","124.22","120.38","4.53K","-3.09%"
"03/24/2023","124.22","123.50","124.70","120.14","1.30M","0.39%"
"03/23/2023","123.74","124.70","124.70","121.82","8.55K","-4.44%"
"03/22/2023","129.50","126.62","129.50","121.82","132.74K","2.27%"
"03/21/2023","126.62","129.50","129.50","125.90","16.41K","-2.04%"
"03/20/2023","129.26","129.50","132.37","129.02","41.71K","-0.92%"
"03/17/2023","130.46","125.66","130.94","125.66","193.87K","1.87%"
"03/16/2023","128.06","129.02","129.02","126.62","75.11K","2.30%"
"03/15/2023","125.18","118.94","129.50","118.94","232.87K","-0.38%"
"03/14/2023","125.66","118.94","126.62","118.47","1.71M","3.97%"
"03/13/2023","120.86","122.78","123.26","118.94","133.91K","-2.33%"
"03/10/2023","123.74","126.62","126.62","122.78","46.32K","-2.27%"
"03/09/2023","126.62","127.58","127.58","122.78","46.50K","-2.58%"
"03/08/2023","129.98","124.70","131.65","124.70","2.23M","5.24%"
"03/07/2023","123.50","111.27","123.50","111.27","747.83K","10.99%"
"03/03/2023","111.27","108.87","111.27","108.15","134.68K","1.98%"
